Feature,Importance
COUNT_F,0.2026260645405035
multiple_F,0.18578216797713362
has_F,0.1381826654326825
excessive_F,0.10968306280217956
min_gpa_up_to_now,0.05371209267595866
max_gpa_up_to_now,0.047952679332374466
TERM1,0.04172587960889693
OLD_GPA_M6,0.03969784523623868
avg_gpa_up_to_now,0.03838948224359485
improvement_from_hs,0.03615685651041733
FAC_ENCODED,0.0282698547339527
COUNT_WIU,0.022803511936536975
performance_category,0.012963210741985818
term1_low,0.012036395960069278
low_gpa,0.008497584979709984
early_warning,0.00769334546043425
GENDER_ENCODED,0.006094088388817987
has_WIU,0.004790327047479108
very_low_gpa,0.0029428843910339936
gpa_range,0.0
gpa_std,0.0
current_term,0.0
